"model_id","reference_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"Amanda-ARIMA",2025-09-27,554.390724637681,158.333333333333,1,1,3
"Amanda-ARIMA",2025-10-04,516.644782608696,242,1,1,3
"Amanda-ARIMA",2025-10-11,537.35,158.333333333333,1,1,3
"Amanda-ARIMA",2025-10-18,558.213623188406,227,1,1,3
"Amanda-ARIMA",2025-10-25,597.597246376812,668.666666666667,1,1,3
"Amanda-ARIMA",2025-11-01,712.363043478261,1119.66666666667,1,1,3
"Amanda-ARIMA",2025-11-08,905.367101449275,1605.33333333333,1,1,3
"Amanda-ARIMA",2025-11-15,1273.30014492754,2420.33333333333,0.666666666666667,1,3
"Amanda-ARIMA",2025-11-22,1950.09115942029,3542,0.333333333333333,1,3
"Amanda-ARIMA",2025-11-29,4713.48608695652,6802,0,0.666666666666667,3
"Amanda-ARIMA",2025-12-06,11838.2428985507,14251.3333333333,0,0.333333333333333,3
"Amanda-ARIMA",2025-12-13,17256.9286956522,19754.3333333333,0,0,3
"Amanda-ARIMA",2025-12-20,6221.75623188406,7423.33333333333,0.333333333333333,0.333333333333333,3
"Amanda-ARIMA",2025-12-27,21976.9792753623,24722,0,0,3
"Amanda-ARIMA",2026-01-03,15205.2520289855,18002,0,0,3
"Amanda-ARIMA",2026-01-10,1382.46405797101,2265.33333333333,0.666666666666667,1,3
"Amanda-ARIMA",2026-01-17,3513.63782608696,5944.33333333333,0,1,3
"Amanda-ARIMA",2026-01-24,1210.52376811594,1336.66666666667,0.666666666666667,1,3
"Amanda-ARIMA",2026-01-31,2197.77391304348,3687.33333333333,0.333333333333333,1,3
"Amanda-ARIMA",2026-02-07,2438.92826086957,4341.66666666667,0.333333333333333,1,3
"Amanda-ARIMA",2026-02-14,3089.38057971014,5408.33333333333,0,1,3
"Amanda-ARIMA",2026-02-21,1164.07,1815,1,1,3
"Amanda-ARIMA",2026-02-28,1256.97144927536,2105.33333333333,1,1,3
"Amanda-ARIMA",2026-03-07,2726.79391304348,4906,0,1,3
"Amanda-ARIMA",2026-03-14,968.61347826087,1300,1,1,3
"Amanda-ARIMA",2026-03-21,1527.23782608696,2846.33333333333,0.333333333333333,1,3
"Amanda-ARIMA",2026-03-28,732.339130434783,576,1,1,3
"Amanda-ARIMA",2026-04-04,1010.68101449275,1566.33333333333,1,1,3
"Amanda-ARIMA",2026-04-11,656.852463768116,648,1,1,3
"Amanda-ARIMA",2026-04-18,755.61884057971,640.666666666667,1,1,3
"Amanda-ARIMA",2026-04-25,680.348985507246,287.333333333333,1,1,3
"Amanda-ARIMA",2026-05-02,636.897391304348,71.3333333333333,1,1,3
"Amanda-ARIMA",2026-05-09,649.026231884058,225,1,1,3
"Amanda-ARIMA",2026-05-16,629.874347826087,192.333333333333,1,1,3
"Amanda-XGBoost",2025-09-27,238.955652173913,406.333333333333,0,1,3
"Amanda-XGBoost",2025-10-04,213.335507246377,389,0,1,3
"Amanda-XGBoost",2025-10-11,239.176376811594,433.666666666667,0.333333333333333,1,3
"Amanda-XGBoost",2025-10-18,208.068405797101,344,0.333333333333333,1,3
"Amanda-XGBoost",2025-10-25,116.045072463768,95,0.666666666666667,1,3
"Amanda-XGBoost",2025-11-01,310.466376811594,515,0,1,3
"Amanda-XGBoost",2025-11-08,493.135362318841,729,0,1,3
"Amanda-XGBoost",2025-11-15,1039.7531884058,1536,0,1,3
"Amanda-XGBoost",2025-11-22,1162.92637681159,1582.66666666667,0,0.666666666666667,3
"Amanda-XGBoost",2025-11-29,2846.17898550725,3293.66666666667,0,0,3
"Amanda-XGBoost",2025-12-06,6561.3984057971,8357.33333333333,0,0,3
"Amanda-XGBoost",2025-12-13,10292.0731884058,13235.6666666667,0,0,3
"Amanda-XGBoost",2025-12-20,11533.6153623188,14467.6666666667,0,0.333333333333333,3
"Amanda-XGBoost",2025-12-27,5504.79927536232,7631,0.333333333333333,0.666666666666667,3
"Amanda-XGBoost",2026-01-03,8712.25768115942,19473.6666666667,0.333333333333333,1,3
"Amanda-XGBoost",2026-01-10,8611.26101449275,16620.3333333333,0,1,3
"Amanda-XGBoost",2026-01-17,3142.60869565217,6212.33333333333,0.333333333333333,1,3
"Amanda-XGBoost",2026-01-24,1346.70391304348,961.666666666667,1,1,3
"Amanda-XGBoost",2026-01-31,1667.17623188406,2495,0.666666666666667,1,3
"Amanda-XGBoost",2026-02-07,1047.02130434783,1500,0.666666666666667,1,3
"Amanda-XGBoost",2026-02-14,1033.13637681159,1695,0,1,3
"Amanda-XGBoost",2026-02-21,936.640724637681,1512.66666666667,0,1,3
"Amanda-XGBoost",2026-02-28,949.094057971015,1512.66666666667,0.333333333333333,1,3
"Amanda-XGBoost",2026-03-07,818.139565217391,1022.66666666667,0.666666666666667,1,3
"Amanda-XGBoost",2026-03-14,1555.99231884058,2090.33333333333,0,1,3
"Amanda-XGBoost",2026-03-21,1409.02188405797,1965,0,1,3
"Amanda-XGBoost",2026-03-28,403.383623188406,759,0,1,3
"Amanda-XGBoost",2026-04-04,196.50231884058,263,0.666666666666667,1,3
"Amanda-XGBoost",2026-04-11,201.076231884058,354,0.666666666666667,1,3
"Amanda-XGBoost",2026-04-18,131.112898550725,228,1,1,3
"Amanda-XGBoost",2026-04-25,104.96,73,1,1,3
"Amanda-XGBoost",2026-05-02,103.657536231884,60.3333333333333,1,1,3
"Amanda-XGBoost",2026-05-09,84.2873913043478,99,1,1,3
"Amanda-XGBoost",2026-05-16,60.7434782608696,82.3333333333333,1,1,3
"DKCDC-XGBoost",2025-09-27,280.079710144928,476.666666666667,0,1,3
"DKCDC-XGBoost",2025-10-04,104.944927536232,158.333333333333,0.666666666666667,1,3
"DKCDC-XGBoost",2025-10-11,92.9349275362319,154.333333333333,1,1,3
"DKCDC-XGBoost",2025-10-18,70.9779710144928,44.3333333333333,1,1,3
"DKCDC-XGBoost",2025-10-25,196.722173913043,324.666666666667,0.333333333333333,1,3
"DKCDC-XGBoost",2025-11-01,424.044927536232,627.666666666667,0,0.666666666666667,3
"DKCDC-XGBoost",2025-11-08,318.433768115942,474,0.333333333333333,0.666666666666667,3
"DKCDC-XGBoost",2025-11-15,174.866956521739,325.666666666667,0,1,3
"DKCDC-XGBoost",2025-11-22,1294.59086956522,1525.33333333333,0,0.333333333333333,3
"DKCDC-XGBoost",2025-11-29,1913.38463768116,2148.66666666667,0,0,3
"DKCDC-XGBoost",2025-12-06,4058.33463768116,4310.66666666667,0,0,3
"DKCDC-XGBoost",2025-12-13,4189.41507246377,4441,0,0,3
"DKCDC-XGBoost",2025-12-20,7326.90594202899,7593,0,0,3
"DKCDC-XGBoost",2025-12-27,8985.58884057971,9258,0,0,3
"DKCDC-XGBoost",2026-01-03,16774.6757971014,17075,0,0,3
"DKCDC-XGBoost",2026-01-10,16078.8062318841,16465.3333333333,0,0,3
"DKCDC-XGBoost",2026-01-17,2111.19304347826,2514.66666666667,0,0,3
"DKCDC-XGBoost",2026-01-24,4799.76695652174,5193.66666666667,0,0,3
"DKCDC-XGBoost",2026-01-31,6014.20565217391,6389.33333333333,0,0,3
"DKCDC-XGBoost",2026-02-07,204.354637681159,370.666666666667,0.666666666666667,1,3
"DKCDC-XGBoost",2026-02-14,2590.32333333333,2995,0,0,3
"DKCDC-XGBoost",2026-02-21,2128.53057971015,2528.66666666667,0,0,3
"DKCDC-XGBoost",2026-02-28,2197.76565217391,2596.33333333333,0,0,3
"DKCDC-XGBoost",2026-03-07,1129.23492753623,1485.66666666667,0,0.666666666666667,3
"DKCDC-XGBoost",2026-03-14,2470.95246376812,2880,0,0,3
"DKCDC-XGBoost",2026-03-21,494.743913043478,831.333333333333,0,0.666666666666667,3
"DKCDC-XGBoost",2026-03-28,371.270434782609,603,0.333333333333333,1,3
"DKCDC-XGBoost",2026-04-04,191.105072463768,260,0.666666666666667,1,3
"DKCDC-XGBoost",2026-04-11,382.993913043478,672.666666666667,0.333333333333333,1,3
"DKCDC-XGBoost",2026-04-18,150.051739130435,188.333333333333,1,1,3
"DKCDC-XGBoost",2026-04-25,123.390144927536,62.3333333333333,1,1,3
"DKCDC-XGBoost",2026-05-02,153.284927536232,204.666666666667,1,1,3
"DKCDC-XGBoost",2026-05-09,181.443768115942,313,0.666666666666667,1,3
"Gihani-XGBoost",2025-10-04,33.5136231884058,62.6666666666667,0,1,3
"Gihani-XGBoost",2025-10-11,59.8410144927536,100.666666666667,0,1,3
"Gihani-XGBoost",2025-10-18,213.353333333333,270,0,0.333333333333333,3
"Gihani-XGBoost",2025-10-25,420.285942028986,478.666666666667,0,0.333333333333333,3
"Gihani-XGBoost",2025-11-01,943.568985507246,1001.66666666667,0,0,3
"Gihani-XGBoost",2025-11-08,1041.72637681159,1097.33333333333,0,0,3
"Gihani-XGBoost",2025-11-15,1908.73753623188,1964.66666666667,0,0,3
"Gihani-XGBoost",2025-11-22,1438.95608695652,1497,0,0,3
"Gihani-XGBoost",2025-11-29,5061.15492753623,5120.66666666667,0,0,3
"Gihani-XGBoost",2025-12-06,10377.3469565217,10435.6666666667,0,0,3
"Gihani-XGBoost",2025-12-13,10537.2685507246,10596,0,0,3
"Gihani-XGBoost",2025-12-20,12465.1849275362,12524.3333333333,0,0,3
"Gihani-XGBoost",2025-12-27,11277.8785507246,11342.6666666667,0,0,3
"Gihani-XGBoost",2026-01-10,22776.1692753623,22835.3333333333,0,0,3
"Gihani-XGBoost",2026-01-17,6106.18565217391,6169,0,0,3
"Gihani-XGBoost",2026-01-24,5235.44724637681,5299.33333333333,0,0,3
"Gihani-XGBoost",2026-01-31,6601.00507246377,6663.66666666667,0,0,3
"Gihani-XGBoost",2026-02-07,1979.78666666667,2041.66666666667,0,0,3
"Gihani-XGBoost",2026-02-14,4212.30884057971,4275.33333333333,0,0,3
"Gihani-XGBoost",2026-02-21,2367.52420289855,2433.66666666667,0,0,3
"Gihani-XGBoost",2026-02-28,3705.14739130435,3774,0,0,3
"Gihani-XGBoost",2026-03-07,2601.9952173913,2669,0,0,3
"Gihani-XGBoost",2026-03-14,4098.91391304348,4163.33333333333,0,0,3
"Gihani-XGBoost",2026-03-21,1858.74072463768,1926,0,0,3
"Gihani-XGBoost",2026-03-28,71.384347826087,111.666666666667,0.333333333333333,0.666666666666667,3
"Gihani-XGBoost",2026-04-04,107.897391304348,164.666666666667,0.333333333333333,0.666666666666667,3
"Gihani-XGBoost",2026-04-11,44.3378260869565,73.6666666666667,0.333333333333333,1,3
"Gihani-XGBoost",2026-04-18,177.405362318841,243,0,0.333333333333333,3
"Gihani-XGBoost",2026-04-25,361.38768115942,427.666666666667,0,0,3
"Gihani-XGBoost",2026-05-02,89.7786956521739,145.333333333333,0,0.666666666666667,3
"Gihani-XGBoost",2026-05-09,69.0610144927536,112.666666666667,0.333333333333333,0.666666666666667,3
"Gihani-XGBoost",2026-05-16,184.877971014493,250.333333333333,0,0.333333333333333,3
"Huan-ARIMA",2025-09-27,847.589855072464,152.666666666667,1,1,3
"Huan-ARIMA",2025-10-04,795.365507246377,238,1,1,3
"Huan-ARIMA",2025-10-11,818.866086956522,159.666666666667,1,1,3
"Huan-ARIMA",2025-10-18,839.552753623188,229,1,1,3
"Huan-ARIMA",2025-10-25,857.432753623188,666,1,1,3
"Huan-ARIMA",2025-11-01,942.324492753623,1123.66666666667,1,1,3
"Huan-ARIMA",2025-11-08,1103.86420289855,1614.66666666667,1,1,3
"Huan-ARIMA",2025-11-15,1378.65101449275,2429,1,1,3
"Huan-ARIMA",2025-11-22,1888.97304347826,3557.33333333333,0.666666666666667,1,3
"Huan-ARIMA",2025-11-29,4029.86550724638,6825,0.333333333333333,1,3
"Huan-ARIMA",2025-12-06,10499.1737681159,14278,0,0.333333333333333,3
"Huan-ARIMA",2025-12-13,15702.0056521739,19805.3333333333,0,0,3
"Huan-ARIMA",2025-12-20,6816.98826086957,9341,0.333333333333333,0.333333333333333,3
"Huan-ARIMA",2025-12-27,16094.4004347826,20831.6666666667,0,0,3
"Huan-ARIMA",2026-01-03,10160.8231884058,14641,0,0.333333333333333,3
"Huan-ARIMA",2026-01-10,2210.75739130435,3961,0.666666666666667,1,3
"Huan-ARIMA",2026-01-17,1419.81144927536,632,1,1,3
"Huan-ARIMA",2026-01-24,1552.76637681159,1710,1,1,3
"Huan-ARIMA",2026-01-31,1869.77507246377,3003,1,1,3
"Huan-ARIMA",2026-02-07,1500.11927536232,1368.66666666667,1,1,3
"Huan-ARIMA",2026-02-14,1679.22144927536,2429,1,1,3
"Huan-ARIMA",2026-02-21,1512.69942028986,1774.66666666667,1,1,3
"Huan-ARIMA",2026-02-28,1327.92014492754,705.666666666667,1,1,3
"Huan-ARIMA",2026-03-07,1768.72072463768,2942,1,1,3
"Huan-ARIMA",2026-03-14,1283.02942028985,1130,1,1,3
"Huan-ARIMA",2026-03-21,1372.43376811594,1768,1,1,3
"Huan-ARIMA",2026-03-28,967.114492753623,1470.66666666667,1,1,3
"Huan-ARIMA",2026-04-04,1240.72275362319,1451.33333333333,1,1,3
"Huan-ARIMA",2026-04-11,876.027826086956,786.333333333333,1,1,3
"Huan-ARIMA",2026-04-18,942.239130434783,139.333333333333,1,1,3
"Huan-ARIMA",2026-04-25,945.427246376812,307.333333333333,1,1,3
"Huan-ARIMA",2026-05-02,844.425217391304,274,1,1,3
"Huan-ARIMA",2026-05-09,881.458260869565,163,1,1,3
"Huan-ARIMA",2026-05-16,820.907246376812,105.666666666667,1,1,3
"Huan-ARIMAWW",2025-09-27,1125.14086956522,2076.33333333333,0.333333333333333,1,3
"Huan-ARIMAWW",2025-10-04,1051.02333333333,1916,0.666666666666667,1,3
"Huan-ARIMAWW",2025-10-11,988.250144927536,1767.33333333333,0.666666666666667,1,3
"Huan-ARIMAWW",2025-10-18,893.315652173913,1551.66666666667,1,1,3
"Huan-ARIMAWW",2025-10-25,749.693043478261,1118.66666666667,1,1,3
"Huan-ARIMAWW",2025-11-01,621.28884057971,430,1,1,3
"Huan-ARIMAWW",2025-11-08,960.407971014493,1674.66666666667,0.666666666666667,1,3
"Huan-ARIMAWW",2025-11-15,1639.20173913043,2920,0.333333333333333,1,3
"Huan-ARIMAWW",2025-11-22,3091.94289855072,4820,0,0.666666666666667,3
"Huan-ARIMAWW",2025-11-29,6223.92594202899,8069.33333333333,0,0.333333333333333,3
"Huan-ARIMAWW",2025-12-06,13760.7663768116,15766.6666666667,0,0.333333333333333,3
"Huan-ARIMAWW",2025-12-13,19549.7684057971,21632.3333333333,0,0,3
"Huan-ARIMAWW",2025-12-20,10271.2952173913,12183.3333333333,0,0.333333333333333,3
"Huan-ARIMAWW",2025-12-27,9943.75333333333,11856.3333333333,0,0.333333333333333,3
"Huan-ARIMAWW",2026-01-03,15431.0705797101,17641.6666666667,0,0,3
"Huan-ARIMAWW",2026-01-10,2989.27391304348,4820.66666666667,0,0.666666666666667,3
"Huan-ARIMAWW",2026-01-17,10189.3853623188,12377.6666666667,0,0,3
"Huan-ARIMAWW",2026-01-24,964.703478260869,1411,0.666666666666667,1,3
"Huan-ARIMAWW",2026-01-31,649.198405797101,376.666666666667,1,1,3
"Huan-ARIMAWW",2026-02-07,924.950434782609,1530.66666666667,0.666666666666667,1,3
"Huan-ARIMAWW",2026-02-14,892.933188405797,1271,0.666666666666667,1,3
"Huan-ARIMAWW",2026-02-21,957.709565217391,1649,0.666666666666667,1,3
"Huan-ARIMAWW",2026-02-28,1245.88362318841,2286.33333333333,0.333333333333333,1,3
"Huan-ARIMAWW",2026-03-07,1450.18942028986,2274.66666666667,0.666666666666667,1,3
"Huan-ARIMAWW",2026-03-14,2931.84739130435,4794,0,0.666666666666667,3
"Huan-ARIMAWW",2026-03-21,3101.89347826087,5110.33333333333,0,1,3
"Huan-ARIMAWW",2026-03-28,2193.54536231884,3849.66666666667,0,1,3
"Huan-ARIMAWW",2026-04-04,1094.94101449275,1897.66666666667,1,1,3
"Huan-ARIMAWW",2026-04-11,933.190724637681,1413.33333333333,1,1,3
"Huan-ARIMAWW",2026-04-18,887.847971014493,1262.66666666667,1,1,3
"Huan-ARIMAWW",2026-04-25,904.727536231884,1376.33333333333,1,1,3
"Huan-ARIMAWW",2026-05-02,864.461739130435,1269,1,1,3
"Huan-ARIMAWW",2026-05-09,842.138260869565,1218.66666666667,1,1,3
"Huan-ARIMAWW",2026-05-16,1099.21826086957,2005.33333333333,0.333333333333333,1,3
"Huan-XGBoost",2025-09-27,134.729130434783,130.333333333333,0.666666666666667,1,3
"Huan-XGBoost",2025-10-04,149.691449275362,178.333333333333,0.666666666666667,1,3
"Huan-XGBoost",2025-10-11,142.491594202899,184,0.666666666666667,1,3
"Huan-XGBoost",2025-10-18,194.645507246377,276.666666666667,0.333333333333333,1,3
"Huan-XGBoost",2025-10-25,416.411739130435,717,0.333333333333333,1,3
"Huan-XGBoost",2025-11-01,914.276231884058,1354.33333333333,0,1,3
"Huan-XGBoost",2025-11-08,878.640724637681,1264,0,1,3
"Huan-XGBoost",2025-11-15,1327.9247826087,1829.33333333333,0,1,3
"Huan-XGBoost",2025-11-22,1281.2668115942,1940,0,1,3
"Huan-XGBoost",2025-11-29,1719.02260869565,2361,0.333333333333333,1,3
"Huan-XGBoost",2025-12-06,6739.27927536232,8970.66666666667,0,0.333333333333333,3
"Huan-XGBoost",2025-12-13,9068.51115942029,14313.6666666667,0,0.666666666666667,3
"Huan-XGBoost",2025-12-20,6472.24405797101,8239,0.333333333333333,0.333333333333333,3
"Huan-XGBoost",2025-12-27,7554.38942028986,12008.6666666667,0,1,3
"Huan-XGBoost",2026-01-03,9762.37550724638,19732,0,1,3
"Huan-XGBoost",2026-01-10,2120.9815942029,2249.66666666667,1,1,3
"Huan-XGBoost",2026-01-17,3639.78304347826,6061.66666666667,0,1,3
"Huan-XGBoost",2026-01-24,2207.02130434783,3435.66666666667,0.666666666666667,1,3
"Huan-XGBoost",2026-01-31,1791.3452173913,2841.66666666667,0.666666666666667,1,3
"Huan-XGBoost",2026-02-07,1403.36260869565,993.666666666667,1,1,3
"Huan-XGBoost",2026-02-14,2772.57101449275,4973.33333333333,0,1,3
"Huan-XGBoost",2026-02-21,1327.25304347826,2559,0,1,3
"Huan-XGBoost",2026-02-28,657.804927536232,838,0.666666666666667,1,3
